"city_code","covid.fed.ICUbeds.per100K","covid.fed.ICUbeds.cost.percapita"
1100015,0,0
1100023,25.5654063530035,23.6662618810661
1100031,0,0
1100049,32.5986983805432,15.6473752226608
1100056,0,0
1100064,0,0
1100072,0,0
1100080,0,0
1100098,0,0
1100106,0,0
1100114,9.68616815187912,9.29872142580395
1100122,7.6917751847949,3.69205208870155
1100130,0,0
1100148,0,0
1100155,0,0
1100189,0,0
1100205,15.7595938845359,7.56460506457725
1100254,0,0
1100262,0,0
1100288,0,0
1100296,0,0
1100304,9.78368277386974,9.39233546291495
1100320,0,0
1100338,0,0
1100346,0,0
1100379,0,0
1100403,0,0
1100452,0,0
1100502,0,0
1100601,0,0
1100700,0,0
1100809,0,0
1100908,0,0
1100924,0,0
1100940,0,0
1101005,0,0
1101104,0,0
1101203,0,0
1101302,0,0
1101401,0,0
1101435,0,0
1101450,0,0
1101468,0,0
1101476,0,0
1101484,0,0
1101492,0,0
1101500,0,0
1101559,0,0
1101609,0,0
1101708,0,0
1101757,0,0
1101807,0,0
1200013,0,0
1200054,0,0
1200104,0,0
1200138,0,0
1200179,0,0
1200203,22.4537452847135,16.1666966049937
1200252,0,0
1200302,0,0
1200328,0,0
1200336,0,0
1200344,0,0
1200351,0,0
1200385,0,0
1200393,0,0
1200401,7.25657808803681,6.96631496451533
1200427,0,0
1200435,0,0
1200450,0,0
1200500,0,0
1200609,0,0
1200708,0,0
1200807,0,0
1300029,0,0
1300060,0,0
1300086,0,0
1300102,0,0
1300144,0,0
1300201,0,0
1300300,0,0
1300409,0,0
1300508,0,0
1300607,0,0
1300631,0,0
1300680,0,0
1300706,0,0
1300805,0,0
1300839,0,0
1300904,0,0
1301001,0,0
1301100,0,0
1301159,0,0
1301209,0,0
1301308,0,0
1301407,0,0
1301506,0,0
1301605,0,0
1301654,0,0
1301704,0,0
1301803,0,0
1301852,0,0
1301902,0,0
1301951,0,0
1302009,0,0
1302108,0,0
1302207,0,0
1302306,0,0
1302405,0,0
1302504,0,0
1302553,0,0
1302603,11.1282314672145,8.41240234638986
1302702,0,0
1302801,0,0
1302900,0,0
1303007,0,0
1303106,0,0
1303205,0,0
1303304,0,0
1303403,0,0
1303502,0,0
1303536,0,0
1303569,0,0
1303601,0,0
1303700,0,0
1303809,0,0
1303908,0,0
1303957,0,0
1304005,0,0
1304062,0,0
1304104,0,0
1304203,0,0
1304237,0,0
1304260,0,0
1304302,0,0
1304401,0,0
1400027,0,0
1400050,0,0
1400100,21.446341254182,10.2942438020074
1400159,0,0
1400175,0,0
1400209,0,0
1400233,0,0
1400282,0,0
1400308,0,0
1400407,0,0
1400456,0,0
1400472,0,0
1400506,0,0
1400605,0,0
1400704,0,0
1500107,0,0
1500131,0,0
1500206,0,0
1500305,0,0
1500347,0,0
1500404,0,0
1500503,0,0
1500602,17.2459881520061,8.27807431296295
1500701,0,0
1500800,0.933624873260423,0.448139939165003
1500859,0,0
1500909,0,0
1500958,0,0
1501006,0,0
1501105,0,0
1501204,0,0
1501253,0,0
1501303,0,0
1501402,10.1357591583586,5.18524100101291
1501451,0,0
1501501,0,0
1501576,0,0
1501600,0,0
1501709,7.75710939075663,3.72341250756318
1501725,0,0
1501758,0,0
1501782,0,0
1501808,0,0
1501907,0,0
1501956,0,0
1502004,0,0
1502103,0,0
1502152,0,0
1502202,0,0
1502301,0,0
1502400,5.90402999247236,2.83393439638673
1502509,0,0
1502608,0,0
1502707,25.0046883790711,12.0022504219541
1502756,0,0
1502764,0,0
1502772,0,0
1502806,0,0
1502855,0,0
1502905,0,0
1502939,0,0
1502954,0,0
1503002,0,0
1503044,0,0
1503077,0,0
1503093,0,0
1503101,0,0
1503200,0,0
1503309,0,0
1503408,0,0
1503457,0,0
1503507,0,0
1503606,73.9681443858179,35.5047093051926
1503705,0,0
1503754,0,0
1503804,0,0
1503903,0,0
1504000,0,0
1504059,0,0
1504109,0,0
1504208,8.81703592413117,4.23217724358296
1504307,0,0
1504406,0,0
1504422,0,0
1504455,0,0
1504505,0,0
1504604,0,0
1504703,0,0
1504752,0,0
1504802,0,0
1504901,0,0
1504950,0,0
1504976,0,0
1505007,0,0
1505031,0,0
1505064,0,0
1505106,0,0
1505205,0,0
1505304,0,0
1505403,0,0
1505437,0,0
1505486,0,0
1505494,0,0
1505502,0,0
1505536,0,0
1505551,0,0
1505601,0,0
1505635,0,0
1505650,0,0
1505700,0,0
1505809,0,0
1505908,0,0
1506005,0,0
1506104,0,0
1506112,0,0
1506138,24.5433189579608,11.7807930998212
1506161,0,0
1506187,0,0
1506195,0,0
1506203,0,0
1506302,0,0
1506351,0,0
1506401,0,0
1506500,0,0
1506559,0,0
1506583,0,0
1506609,0,0
1506708,0,0
1506807,2.28399895588619,1.09631949882537
1506906,0,0
1507003,0,0
1507102,0,0
1507151,0,0
1507201,0,0
1507300,0,0
1507409,0,0
1507458,0,0
1507466,0,0
1507474,0,0
1507508,0,0
1507607,0,0
1507706,0,0
1507755,0,0
1507805,0,0
1507904,0,0
1507953,0,0
1507961,0,0
1507979,0,0
1508001,0,0
1508035,0,0
1508050,0,0
1508084,0,0
1508100,0,0
1508126,0,0
1508159,0,0
1508209,0,0
1508308,0,0
1508357,0,0
1508407,0,0
1600055,0,0
1600105,0,0
1600154,0,0
1600204,0,0
1600212,0,0
1600238,0,0
1600253,0,0
1600279,0,0
1600303,16.5723666509392,7.9547359924508
1600402,0,0
1600501,0,0
1600535,0,0
1600550,0,0
1600600,0,0
1600709,0,0
1600808,0,0
1700251,0,0
1700301,0,0
1700350,0,0
1700400,0,0
1700707,0,0
1701002,0,0
1701051,0,0
1701101,0,0
1701309,0,0
1701903,0,0
1702000,0,0
1702109,9.27031699030979,6.28200304284522
1702158,0,0
1702208,0,0
1702307,0,0
1702406,0,0
1702554,0,0
1702703,0,0
1702901,0,0
1703008,0,0
1703057,0,0
1703073,0,0
1703107,0,0
1703206,0,0
1703305,0,0
1703602,0,0
1703701,0,0
1703800,0,0
1703826,0,0
1703842,0,0
1703867,0,0
1703883,0,0
1703891,0,0
1703909,0,0
1704105,0,0
1704600,0,0
1705102,0,0
1705508,0,0
1705557,0,0
1705607,0,0
1706001,0,0
1706100,0,0
1706258,0,0
1706506,0,0
1707009,0,0
1707108,0,0
1707207,0,0
1707306,0,0
1707405,0,0
1707553,0,0
1707652,0,0
1707702,0,0
1708205,0,0
1708254,0,0
1708304,0,0
1709005,0,0
1709302,0,0
1709500,5.7113484493689,2.74144725569707
1709807,0,0
1710508,0,0
1710706,0,0
1710904,0,0
1711100,0,0
1711506,0,0
1711803,0,0
1711902,0,0
1711951,0,0
1712009,0,0
1712157,0,0
1712405,0,0
1712454,0,0
1712504,0,0
1712702,0,0
1712801,0,0
1713205,0,0
1713304,0,0
1713601,0,0
1713700,0,0
1713809,0,0
1713957,0,0
1714203,0,0
1714302,0,0
1714880,0,0
1715002,0,0
1715101,0,0
1715150,0,0
1715259,0,0
1715507,0,0
1715705,0,0
1715754,0,0
1716109,0,0
1716208,0,0
1716307,0,0
1716505,0,0
1716604,0,0
1716653,0,0
1716703,0,0
1717008,0,0
1717206,0,0
1717503,0,0
1717800,0,0
1717909,0,0
1718006,0,0
1718204,0,0
1718303,0,0
1718402,0,0
1718451,0,0
1718501,0,0
1718550,0,0
1718659,0,0
1718709,0,0
1718758,0,0
1718808,0,0
1718840,0,0
1718865,0,0
1718881,0,0
1718899,0,0
1718907,0,0
1719004,0,0
1720002,0,0
1720101,0,0
1720150,0,0
1720200,0,0
1720259,0,0
1720309,0,0
1720499,0,0
1720655,0,0
1720804,0,0
1720853,0,0
1720903,0,0
1720937,0,0
1720978,0,0
1721000,4.89722360069998,3.91777888055998
1721109,0,0
1721208,0,0
1721257,0,0
1721307,0,0
1722081,0,0
1722107,0,0
2100055,0,0
2100105,0,0
2100154,0,0
2100204,0,0
2100303,0,0
2100402,0,0
2100436,0,0
2100477,0,0
2100501,0,0
2100550,0,0
2100600,0,0
2100709,0,0
2100808,0,0
2100832,0,0
2100873,0,0
2100907,0,0
2100956,0,0
2101004,0,0
2101103,0,0
2101202,10.4971848458822,5.03864872602348
2101251,0,0
2101301,0,0
2101350,0,0
2101400,18.7638774510315,9.00666117649512
2101509,0,0
2101608,0,0
2101707,0,0
2101731,0,0
2101772,0,0
2101806,0,0
2101905,0,0
2101939,0,0
2101970,0,0
2102002,0,0
2102036,0,0
2102077,0,0
2102101,0,0
2102150,0,0
2102200,0,0
2102309,0,0
2102325,0,0
2102358,0,0
2102374,0,0
2102408,0,0
2102507,0,0
2102556,0,0
2102606,0,0
2102705,0,0
2102754,0,0
2102804,0,0
2102903,0,0
2103000,14.4993203443589,12.1794290892614
2103109,0,0
2103125,0,0
2103158,0,0
2103174,0,0
2103208,14.9635264043893,7.18249267410686
2103257,0,0
2103307,0,0
2103406,0,0
2103505,0,0
2103554,0,0
2103604,18.308311973636,8.78798974734529
2103703,0,0
2103752,0,0
2103802,0,0
2103901,0,0
2104008,0,0
2104057,0,0
2104073,0,0
2104081,0,0
2104099,0,0
2104107,0,0
2104206,0,0
2104305,0,0
2104404,0,0
2104503,0,0
2104552,0,0
2104602,0,0
2104628,0,0
2104651,0,0
2104677,0,0
2104701,0,0
2104800,14.2724612859488,6.85078141725541
2104909,0,0
2105005,0,0
2105104,0,0
2105153,0,0
2105203,0,0
2105302,23.5215183332883,14.9920759475123
2105351,0,0
2105401,0,0
2105427,0,0
2105450,0,0
2105476,0,0
2105500,0,0
2105609,0,0
2105658,0,0
2105708,17.7809388335704,13.2764343290659
2105807,0,0
2105906,0,0
2105922,0,0
2105948,0,0
2105963,0,0
2105989,0,0
2106003,0,0
2106102,0,0
2106201,0,0
2106300,0,0
2106326,0,0
2106359,0,0
2106375,0,0
2106409,0,0
2106508,0,0
2106607,0,0
2106631,0,0
2106672,0,0
2106706,0,0
2106755,0,0
2106805,0,0
2106904,0,0
2107001,0,0
2107100,0,0
2107209,0,0
2107258,0,0
2107308,0,0
2107357,0,0
2107407,0,0
2107456,0,0
2107506,0,0
2107605,0,0
2107704,0,0
2107803,0,0
2107902,0,0
2108009,0,0
2108058,0,0
2108108,0,0
2108207,0,0
2108256,0,0
2108306,0,0
2108405,0,0
2108454,0,0
2108504,0,0
2108603,11.9364503383984,5.72949616243122
2108702,0,0
2108801,0,0
2108900,0,0
2109007,0,0
2109056,0,0
2109106,20.8177200433009,19.9850112415688
2109205,0,0
2109239,0,0
2109270,0,0
2109304,0,0
2109403,0,0
2109452,0,0
2109502,0,0
2109551,0,0
2109601,0,0
2109700,0,0
2109759,0,0
2109809,0,0
2109908,22.3491155337528,10.7275754562013
2110005,0,0
2110039,39.4150802096882,18.9192385006503
2110104,0,0
2110203,0,0
2110237,0,0
2110278,0,0
2110302,0,0
2110401,0,0
2110500,0,0
2110609,0,0
2110658,0,0
2110708,0,0
2110807,0,0
2110856,0,0
2110906,0,0
2111003,0,0
2111029,0,0
2111052,0,0
2111078,0,0
2111102,0,0
2111201,0,0
2111250,0,0
2111300,20.9202191212606,10.8208029937555
2111409,0,0
2111508,0,0
2111532,0,0
2111573,0,0
2111607,0,0
2111631,0,0
2111672,0,0
2111706,0,0
2111722,0,0
2111748,0,0
2111763,0,0
2111789,0,0
2111805,0,0
2111904,0,0
2111953,0,0
2112001,0,0
2112100,0,0
2112209,11.7493625970791,8.45954106989696
2112233,0,0
2112274,0,0
2112308,0,0
2112407,0,0
2112456,0,0
2112506,0,0
2112605,0,0
2112704,0,0
2112803,0,0
2112852,0,0
2112902,0,0
2113009,0,0
2114007,0,0
2200053,0,0
2200103,0,0
2200202,0,0
2200251,0,0
2200277,0,0
2200301,0,0
2200400,0,0
2200459,0,0
2200509,0,0
2200608,0,0
2200707,0,0
2200806,0,0
2200905,0,0
2200954,0,0
2201002,0,0
2201051,0,0
2201101,0,0
2201150,0,0
2201176,0,0
2201200,0,0
2201309,0,0
2201408,0,0
2201507,0,0
2201556,0,0
2201572,0,0
2201606,0,0
2201705,0,0
2201739,0,0
2201770,0,0
2201804,0,0
2201903,35.4512151888762,17.0165832906606
2201919,0,0
2201929,0,0
2201945,0,0
2201960,0,0
2201988,0,0
2202000,0,0
2202026,0,0
2202059,0,0
2202075,0,0
2202083,0,0
2202091,0,0
2202109,0,0
2202117,0,0
2202133,0,0
2202174,0,0
2202208,0,0
2202251,0,0
2202307,0,0
2202406,0,0
2202455,0,0
2202505,0,0
2202539,0,0
2202554,0,0
2202604,0,0
2202653,0,0
2202703,0,0
2202711,0,0
2202729,0,0
2202737,0,0
2202752,0,0
2202778,0,0
2202802,0,0
2202851,0,0
2202901,0,0
2203008,0,0
2203107,0,0
2203206,0,0
2203230,0,0
2203255,0,0
2203271,0,0
2203305,0,0
2203354,0,0
2203404,0,0
2203420,0,0
2203453,0,0
2203503,0,0
2203602,0,0
2203701,0,0
2203750,0,0
2203800,0,0
2203859,0,0
2203909,0,0
2204006,0,0
2204105,0,0
2204154,0,0
2204204,0,0
2204303,0,0
2204352,0,0
2204402,0,0
2204501,0,0
2204550,0,0
2204600,0,0
2204659,0,0
2204709,0,0
2204808,0,0
2204907,0,0
2205003,0,0
2205102,0,0
2205151,0,0
2205201,0,0
2205250,0,0
2205276,0,0
2205300,0,0
2205359,0,0
2205409,0,0
2205458,0,0
2205508,0,0
2205516,0,0
2205524,0,0
2205532,0,0
2205540,0,0
2205557,0,0
2205565,0,0
2205573,0,0
2205581,0,0
2205599,0,0
2205607,0,0
2205706,0,0
2205805,0,0
2205854,0,0
2205904,0,0
2205953,0,0
2206001,0,0
2206050,0,0
2206100,0,0
2206209,0,0
2206308,0,0
2206357,0,0
2206407,0,0
2206506,0,0
2206605,0,0
2206654,0,0
2206670,0,0
2206696,0,0
2206704,0,0
2206720,0,0
2206753,0,0
2206803,0,0
2206902,0,0
2206951,0,0
2207009,26.9650802211137,12.9432385061346
2207108,0,0
2207207,0,0
2207306,0,0
2207355,0,0
2207405,0,0
2207504,0,0
2207553,0,0
2207603,0,0
2207702,16.288555009708,9.3822076855918
2207751,0,0
2207777,0,0
2207793,0,0
2207801,0,0
2207850,0,0
2207900,0,0
2207934,0,0
2207959,0,0
2208007,25.5001211255753,24.4801162805523
2208106,0,0
2208205,0,0
2208304,0,0
2208403,23.5157634000658,11.2875664320316
2208502,0,0
2208551,0,0
2208601,0,0
2208650,0,0
2208700,0,0
2208809,0,0
2208858,0,0
2208874,0,0
2208908,0,0
2209005,0,0
2209104,0,0
2209153,0,0
2209203,0,0
2209302,0,0
2209351,0,0
2209377,0,0
2209401,0,0
2209450,0,0
2209500,0,0
2209559,0,0
2209609,0,0
2209658,0,0
2209708,0,0
2209757,0,0
2209807,0,0
2209856,0,0
2209872,0,0
2209906,0,0
2209955,0,0
2209971,0,0
2210003,0,0
2210052,0,0
2210102,0,0
2210201,0,0
2210300,0,0
2210359,0,0
2210375,0,0
2210383,0,0
2210391,0,0
2210409,0,0
2210508,0,0
2210607,43.0082862631534,20.6439774063136
2210623,0,0
2210631,0,0
2210656,0,0
2210706,0,0
2210805,0,0
2210904,0,0
2210938,0,0
2210953,0,0
2210979,0,0
2211001,24.0762606917605,12.6625003599919
2211100,0,0
2211209,0,0
2211308,0,0
2211357,0,0
2211407,0,0
2211506,0,0
2211605,0,0
2211704,0,0
2300101,0,0
2300150,0,0
2300200,0,0
2300309,0,0
2300408,0,0
2300507,0,0
2300606,0,0
2300705,0,0
2300754,0,0
2300804,0,0
2300903,0,0
2301000,0,0
2301109,0,0
2301208,0,0
2301257,0,0
2301307,0,0
2301406,0,0
2301505,0,0
2301604,0,0
2301703,0,0
2301802,0,0
2301851,0,0
2301901,48.9971908277259,39.1977526621807
2301950,0,0
2302008,0,0
2302057,0,0
2302107,0,0
2302206,0,0
2302305,0,0
2302404,0,0
2302503,20.0634003450905,16.3717346815938
2302602,0,0
2302701,0,0
2302800,0,0
2302909,0,0
2303006,0,0
2303105,0,0
2303204,0,0
2303303,0,0
2303402,0,0
2303501,0,0
2303600,0,0
2303659,0,0
2303709,5.4762713163861,2.62861023186533
2303808,0,0
2303907,0,0
2303931,0,0
2303956,0,0
2304004,0,0
2304103,26.6102529304541,19.159382109927
2304202,7.51704489930918,3.60818155166841
2304236,0,0
2304251,0,0
2304269,0,0
2304277,0,0
2304285,0,0
2304301,0,0
2304350,0,0
2304400,14.3675379995325,7.36094382069313
2304459,0,0
2304509,0,0
2304608,0,0
2304657,0,0
2304707,0,0
2304806,0,0
2304905,0,0
2304954,0,0
2305001,0,0
2305100,0,0
2305209,0,0
2305233,0,0
2305266,0,0
2305308,0,0
2305332,0,0
2305357,0,0
2305407,14.6709310172824,14.0840937765911
2305506,29.1053029862041,18.6273939111706
2305605,0,0
2305654,0,0
2305704,0,0
2305803,0,0
2305902,0,0
2306009,0,0
2306108,0,0
2306207,0,0
2306256,0,0
2306306,0,0
2306405,36.0045656853507,23.5331969756165
2306504,0,0
2306553,0,0
2306603,0,0
2306702,0,0
2306801,0,0
2306900,0,0
2307007,0,0
2307106,0,0
2307205,0,0
2307254,0,0
2307304,22.0803289607043,15.6372165754496
2307403,0,0
2307502,0,0
2307601,33.39455668726,32.0587744197696
2307635,0,0
2307650,8.71619207000846,4.18377219360406
2307700,3.83594433277584,1.8412532797324
2307809,0,0
2307908,0,0
2308005,0,0
2308104,0,0
2308203,0,0
2308302,0,0
2308351,0,0
2308377,0,0
2308401,0,0
2308500,0,0
2308609,0,0
2308708,0,0
2308807,0,0
2308906,0,0
2309003,0,0
2309102,0,0
2309201,0,0
2309300,0,0
2309409,0,0
2309458,0,0
2309508,0,0
2309607,0,0
2309706,0,0
2309805,0,0
2309904,0,0
2310001,0,0
2310100,0,0
2310209,0,0
2310258,0,0
2310308,0,0
2310407,0,0
2310506,0,0
2310605,0,0
2310704,0,0
2310803,0,0
2310852,0,0
2310902,0,0
2310951,0,0
2311009,0,0
2311108,0,0
2311207,0,0
2311231,0,0
2311264,0,0
2311306,0,0
2311355,0,0
2311405,63.5867837315659,53.9998532612683
2311504,0,0
2311603,17.1550126947094,8.23440609346051
2311702,0,0
2311801,0,0
2311900,0,0
2311959,0,0
2312007,0,0
2312106,0,0
2312205,0,0
2312304,0,0
2312403,0,0
2312502,0,0
2312601,0,0
2312700,0,0
2312809,0,0
2312908,40.3396120753069,26.1970186653758
2313005,0,0
2313104,0,0
2313203,0,0
2313252,0,0
2313302,33.8627205309675,24.3811587822966
2313351,0,0
2313401,27.4377098658165,23.8316108548806
2313500,0,0
2313559,0,0
2313609,0,0
2313708,0,0
2313757,0,0
2313807,0,0
2313906,0,0
2313955,0,0
2314003,0,0
2314102,0,0
2400109,0,0
2400208,0,0
2400307,0,0
2400406,0,0
2400505,0,0
2400604,0,0
2400703,0,0
2400802,0,0
2400901,0,0
2401008,13.9376707364665,6.69008195350393
2401107,0,0
2401206,0,0
2401305,0,0
2401404,0,0
2401453,0,0
2401503,0,0
2401602,0,0
2401651,0,0
2401701,0,0
2401800,0,0
2401859,0,0
2401909,0,0
2402006,43.8962293139019,28.0935867608972
2402105,0,0
2402204,0,0
2402303,0,0
2402402,0,0
2402501,0,0
2402600,0,0
2402709,0,0
2402808,0,0
2402907,0,0
2403004,0,0
2403103,11.134617525888,10.6892328248525
2403202,0,0
2403251,3.74481343339475,1.79751044802948
2403301,0,0
2403400,0,0
2403509,0,0
2403608,0,0
2403707,0,0
2403756,0,0
2403806,0,0
2403905,0,0
2404002,0,0
2404101,0,0
2404200,0,0
2404309,0,0
2404408,0,0
2404507,31.3224331266053,15.0347679007705
2404606,0,0
2404705,0,0
2404804,0,0
2404853,0,0
2404903,0,0
2405009,0,0
2405108,0,0
2405207,0,0
2405306,0,0
2405405,0,0
2405504,0,0
2405603,0,0
2405702,0,0
2405801,17.0648464163823,8.19112627986348
2405900,0,0
2406007,0,0
2406106,0,0
2406155,0,0
2406205,0,0
2406304,0,0
2406403,0,0
2406502,0,0
2406601,0,0
2406700,0,0
2406809,0,0
2406908,0,0
2407005,0,0
2407104,12.2218012490681,11.7329291991054
2407203,0,0
2407252,0,0
2407302,0,0
2407401,0,0
2407500,0,0
2407609,0,0
2407708,0,0
2407807,0,0
2407906,0,0
2408003,22.9527174021516,15.8074366804383
2408102,9.32081573982571,6.63013206360614
2408201,0,0
2408300,0,0
2408409,0,0
2408508,0,0
2408607,0,0
2408706,0,0
2408805,0,0
2408904,0,0
2408953,0,0
2409100,0,0
2409209,0,0
2409308,0,0
2409332,0,0
2409407,42.483660130719,31.3725490196078
2409506,0,0
2409605,0,0
2409704,0,0
2409803,0,0
2409902,0,0
2410009,0,0
2410108,0,0
2410207,0,0
2410256,0,0
2410306,0,0
2410405,0,0
2410504,0,0
2410603,0,0
2410702,0,0
2410801,0,0
2410900,0,0
2411007,0,0
2411056,0,0
2411106,0,0
2411205,12.5037511253376,6.00180054016205
2411403,0,0
2411429,0,0
2411502,24.7116968698517,23.7232289950577
2411601,0,0
2411700,0,0
2411809,0,0
2411908,0,0
2412005,9.64580600354966,4.62998688170383
2412104,0,0
2412203,0,0
2412302,0,0
2412401,0,0
2412500,0,0
2412559,0,0
2412609,33.8600451467269,16.2528216704289
2412708,0,0
2412807,0,0
2412906,0,0
2413003,0,0
2413102,0,0
2413201,0,0
2413300,0,0
2413359,0,0
2413409,0,0
2413508,0,0
2413557,0,0
2413607,0,0
2413706,0,0
2413805,0,0
2413904,0,0
2414001,0,0
2414100,0,0
2414159,0,0
2414209,0,0
2414308,0,0
2414407,0,0
2414456,0,0
2414506,0,0
2414605,0,0
2414704,0,0
2414753,0,0
2414803,0,0
2414902,0,0
2415008,0,0
2500106,0,0
2500205,0,0
2500304,0,0
2500403,0,0
2500502,0,0
2500536,0,0
2500577,0,0
2500601,0,0
2500700,0,0
2500734,0,0
2500775,0,0
2500809,0,0
2500908,0,0
2501005,0,0
2501104,0,0
2501153,0,0
2501203,0,0
2501302,0,0
2501351,0,0
2501401,0,0
2501500,0,0
2501534,0,0
2501575,0,0
2501609,0,0
2501708,0,0
2501807,0,0
2501906,0,0
2502003,0,0
2502052,0,0
2502102,0,0
2502151,0,0
2502201,0,0
2502300,0,0
2502409,0,0
2502508,0,0
2502607,0,0
2502706,0,0
2502805,0,0
2502904,0,0
2503001,0,0
2503100,0,0
2503209,0,0
2503308,0,0
2503407,0,0
2503506,0,0
2503555,0,0
2503605,0,0
2503704,17.6596188733163,12.3296248133699
2503753,0,0
2503803,0,0
2503902,0,0
2504009,14.327099830746,12.7049807312649
2504033,0,0
2504074,0,0
2504108,0,0
2504157,0,0
2504207,0,0
2504306,0,0
2504355,0,0
2504405,0,0
2504504,0,0
2504603,0,0
2504702,0,0
2504801,0,0
2504850,0,0
2504900,0,0
2505006,0,0
2505105,0,0
2505204,0,0
2505238,0,0
2505279,0,0
2505303,0,0
2505352,0,0
2505402,0,0
2505501,0,0
2505600,0,0
2505709,0,0
2505808,0,0
2505907,0,0
2506004,0,0
2506103,0,0
2506202,0,0
2506251,0,0
2506301,0,0
2506400,0,0
2506509,0,0
2506608,0,0
2506707,0,0
2506806,0,0
2506905,0,0
2507002,0,0
2507101,0,0
2507200,0,0
2507309,0,0
2507408,0,0
2507507,10.7643811520579,7.92649884833354
2507606,0,0
2507705,0,0
2507804,0,0
2507903,0,0
2508000,0,0
2508109,0,0
2508208,0,0
2508307,0,0
2508406,0,0
2508505,0,0
2508554,0,0
2508604,0,0
2508703,0,0
2508802,0,0
2508901,0,0
2509008,0,0
2509057,0,0
2509107,0,0
2509156,0,0
2509206,0,0
2509305,0,0
2509339,0,0
2509370,0,0
2509396,0,0
2509404,0,0
2509503,0,0
2509602,0,0
2509701,0,0
2509800,0,0
2509909,0,0
2510006,0,0
2510105,0,0
2510204,0,0
2510303,0,0
2510402,0,0
2510501,0,0
2510600,0,0
2510659,0,0
2510709,0,0
2510808,24.0313516711032,21.2954747116238
2510907,0,0
2511004,0,0
2511103,0,0
2511202,0,0
2511301,0,0
2511400,0,0
2511509,0,0
2511608,0,0
2511707,0,0
2511806,0,0
2511905,0,0
2512002,0,0
2512036,0,0
2512077,0,0
2512101,0,0
2512200,0,0
2512309,0,0
2512408,0,0
2512507,0,0
2512606,0,0
2512705,0,0
2512721,0,0
2512747,0,0
2512754,0,0
2512762,0,0
2512788,0,0
2512804,0,0
2512903,0,0
2513000,0,0
2513109,0,0
2513158,0,0
2513208,0,0
2513307,0,0
2513356,0,0
2513406,0,0
2513505,0,0
2513604,0,0
2513653,0,0
2513703,30.5790358866828,25.1621781010419
2513802,0,0
2513851,0,0
2513901,0,0
2513927,0,0
2513943,0,0
2513968,0,0
2513984,0,0
2514008,0,0
2514107,0,0
2514206,0,0
2514305,0,0
2514404,0,0
2514453,0,0
2514503,0,0
2514552,0,0
2514602,0,0
2514651,0,0
2514701,0,0
2514800,0,0
2514909,0,0
2515005,0,0
2515104,0,0
2515203,0,0
2515302,0,0
2515401,0,0
2515500,0,0
2515609,0,0
2515708,0,0
2515807,0,0
2515906,0,0
2515930,0,0
2515971,0,0
2516003,0,0
2516102,0,0
2516151,0,0
2516201,0,0
2516300,0,0
2516409,0,0
2516508,0,0
2516607,0,0
2516706,0,0
2516755,0,0
2516805,0,0
2516904,0,0
2517001,0,0
2517100,0,0
2517209,0,0
2517407,0,0
2600054,0,0
2600104,53.4702170890814,38.4985563041386
2600203,0,0
2600302,0,0
2600401,0,0
2600500,0,0
2600609,0,0
2600708,0,0
2600807,0,0
2600906,0,0
2601003,0,0
2601052,0,0
2601102,47.1342383107089,28.2805429864253
2601201,10.6920424474085,5.13218037475609
2601300,0,0
2601409,0,0
2601508,0,0
2601607,0,0
2601706,0,0
2601805,0,0
2601904,16.4257555847569,15.7687253613666
2602001,0,0
2602100,0,0
2602209,0,0
2602308,0,0
2602407,0,0
2602506,0,0
2602605,0,0
2602704,0,0
2602803,0,0
2602902,19.1438854429895,9.18906501263496
2603009,0,0
2603108,0,0
2603207,0,0
2603306,0,0
2603405,0,0
2603454,0,0
