"city_code","area.urban"
1700251,1.186
1700301,3.678
1700350,4.443
1700400,4.602
1700707,5.055
1701002,3.378
1701051,1.391
1701101,2.507
1701309,0.993
1701903,4.05
1702000,6.086
1702109,80.215
1702158,1.433
1702208,11.228
1702307,3.655
1702406,4.557
1702554,7.035
1702703,1.081
1702901,1.956
1703008,1.885
1703057,1.432
1703073,1.694
1703107,2.061
1703206,2.491
1703305,1.372
1703602,0.794
1703701,4.717
1703800,3.178
1703826,1.02
1703842,2.517
1703867,2.196
1703883,0.955
1703891,0.871
1703909,1.721
1704105,0.918
1704600,1.602
1705102,1.488
1705508,17.503
1705557,2.233
1705607,1.547
1706001,1.678
1706100,4.566
1706258,0.603
1706506,2.083
1707009,6.143
1707108,2.712
1707207,1.53
4302055,0.257
1707306,2.656
1707405,1.479
1707553,2.229
1707652,3.082
1707702,2.837
1708205,8.226
1708254,2.188
1708304,1.663
1709005,2.874
1709302,12.545
1712454,1.03
1712504,1.37
1712702,0.971
3512100,1.739
1709500,43.213
1709807,0.796
1710508,1.449
1710706,1.705
1710904,1.498
1711100,1.125
1711506,0.712
1711803,0.753
1711902,3.368
1711951,1.194
1712009,2.234
1712157,0.442
1712405,2.021
3525805,1.24
1712801,0.935
1713205,11.91
1713304,6.307
1713601,2.77
1713700,0.419
1713809,2.479
1713957,1.245
1714203,4.185
1714302,1.249
1714880,4.658
1715002,1.529
1715101,1.989
1715150,0.841
1715259,1.345
1715507,0.684
1715705,1.237
1715754,4.019
1716109,24.146
1716208,2.419
1716307,1.571
1716505,9.038
1716604,3.765
1716653,1.335
1716703,3.582
1717008,1.588
1717206,0.504
1717503,2.508
1717800,2.205
1717909,3.584
1718006,1.357
1718204,65.616
1718303,1.363
1718402,2.185
1718451,1.188
1718501,1.044
1718550,0.757
1718659,1.314
1718709,0.777
1718758,1.484
1718808,1.366
1718840,1.379
1718865,2.471
1718881,1.075
1718899,1.105
1718907,3.155
1719004,0.801
1101492,7.411
1720002,0.974
1720101,2.113
1720150,1.505
1720200,0.982
1720259,1.357
1720309,1.069
1720499,2.812
1720655,2.564
1720804,1.694
1720853,0.651
1720903,7.501
1720937,1.084
1720978,1.828
2800704,0.569
2801009,3.086
2801108,0.383
2602506,0.728
1721000,144.43
1721109,2.638
1721208,8.136
1721257,1.549
1721307,0.81
1722081,3.359
1722107,3.693
2800100,0.352
2800209,3.131
2801207,3.041
2800308,115.108
2800407,1.52
2800506,2.676
2800605,3.119
2800670,8.568
2509503,0.659
2801306,6.853
2801405,2.924
2801504,3.737
2801603,0.815
2801702,3.378
2801900,0.662
2802007,0.505
2802908,17.867
2802106,18.264
2802205,1.073
2802304,2.783
2802403,0.533
2802502,0.551
2802601,0.866
2802700,0.77
2802809,0.786
2803005,6.447
2803104,1.062
2803203,4.245
2803302,1.415
2803401,0.719
2803500,13.63
2803609,4.769
2803708,0.984
2803807,0.247
2803906,1.198
2804003,1.587
2804102,1.04
2804201,1.411
2804300,0.979
2804409,1.923
2804458,1.878
2804508,8.582
3502002,3.701
2804607,9.341
2804706,0.88
2804805,41.848
2804904,0.483
2805000,0.326
2805109,1.647
2805208,0.727
2805307,1.1
2805406,2.606
2805505,3.015
2805604,1.586
5000856,9.067
2805703,4.507
2805802,1.087
2805901,0.969
2806008,4.949
2806107,1.723
2806206,2.326
2806305,0.499
2806404,0.578
2806503,0.474
2806602,1.469
2806701,15.15
2806800,2.739
2806909,0.53
2807006,0.663
2807105,6.093
2807204,0.838
2807303,0.283
2807402,6.556
2807501,1.856
2807600,4.246
3500105,11.768
3500204,1.665
3500303,9.087
3500402,5.825
3500501,17.819
3508900,1.437
3500550,24.181
3500600,3.252
3500709,14.475
3500758,7.008
3500808,1.641
3500907,0.729
3501004,4.481
3501103,1.87
3502101,31.083
3521507,1.687
3501152,9.785
3501202,1.162
3501301,10.437
3501400,0.807
3501509,0.577
3502200,7.659
3521606,1.84
3501608,79.744
3501707,8.569
3501806,2.535
3501905,36.113
3534203,1.193
3502309,2.324
3502408,0.799
3502507,10.737
3502606,1.122
3502705,10.541
3502754,20.074
3507753,0.872
3502804,67.787
3502903,31.867
3503000,1.921
3507803,9.573
3503109,8.66
3503158,0.881
3503406,10.71
3503505,0.887
3503604,2.308
3503703,2.005
1101500,3.5
3503208,80.845
3503307,34.094
3503356,0.318
3503802,15
3503901,40.474
3503950,0.7
3504008,33.609
3505203,12.237
5107768,1.65
3504107,120.231
3504206,6.116
3504305,1.664
3504404,3.215
3504503,40.125
3504602,8.546
3504701,0.634
3504800,3.444
3504909,3.593
3505005,0.911
3505104,2.146
3505302,10.371
3505351,0.811
3505401,1.538
3505500,55.026
3505609,6.99
3506805,5.529
3507902,13.79
3505708,54.71
3505807,7.858
3505906,23.095
3506904,10.705
3506003,136.837
3506102,25.255
3506201,0.811
3506300,2.998
3507308,1.419
3506359,58.823
3506409,2.984
3506508,35.719
3506607,13.152
3506706,2.977
3553658,0.763
3507001,36.453
3507100,9.726
3507159,0.721
3507209,0.317
3507407,4.928
3507456,1.023
3507506,87.9
3507605,86.664
3507704,1.473
3508009,6.995
3508108,8.38
3508207,1.284
3508306,1.583
3508504,41.786
3508405,22.979
3508603,7.795
3508702,4.35
3508801,4.706
3509007,20.753
3509106,0.851
3509205,39.792
3509254,16.976
3509304,2.907
3509403,6.951
3509452,2.587
3509502,355.757
3509601,47.073
3534906,3.597
3509700,34.739
3509809,1.143
3509908,6.148
3509957,4.033
3510005,9.351
3510104,0.881
3510153,0.882
3510203,14.274
3535002,3.106
3510302,9.813
3510401,20.193
3510807,13.618
3510906,1.064
3513207,4.563
3510500,51.825
3510609,34.468
3510708,6.744
3511904,2.463
3511003,7.601
3511102,42.295
3511201,2.079
3511300,5.099
3511409,5.107
3512001,8.98
3511508,13.118
3511607,7.374
3511706,8.141
3512209,6.514
3512308,6.733
3512407,13.739
3512506,1.89
3512605,0.95
3512704,1.382
3513306,0.65
3515400,3.583
3512803,18.227
3512902,2.267
3513009,87.159
3513108,12.106
3535101,1.507
3513405,15.779
3513504,43.097
3513603,5.763
3513702,11.272
3514957,0.41
3513801,27.827
3513850,0.411
3513900,2.274
3514007,2.062
3514106,13.193
3514205,0.719
3514304,2.662
3540101,1.328
3514403,14.082
3514502,4.186
3514601,3.297
3514700,1.529
3514809,2.274
3514908,5.377
3514924,0.948
3515004,35.666
3515152,2.649
3515186,12.189
3515194,0.847
3515202,3.114
3515301,0.859
3515103,27.269
3515129,0.938
3515350,1.887
3515509,27.201
3515608,1.835
3515657,0.353
3515707,16.59
3515806,0.486
3515905,0.923
3516002,3.338
3516101,1.495
3517000,2.452
3517109,3.251
3516200,80.228
3516309,26.15
3517208,4.851
3517307,1.207
3554755,0.589
3516408,38.023
3516507,0.68
3516606,1.593
3516705,11.306
3516804,0.822
3516853,1.166
3516903,4.044
3517406,12.507
3517505,5.26
3517604,2.004
3517703,5.634
3517802,2.362
3517901,4.042
3518008,0.599
3518107,1.996
3518206,9.836
3518305,23.07
3518404,45.199
3518503,2.002
3518602,8.632
3518701,51.196
3519055,7.203
3518800,192.882
3518859,1.559
3518909,1.054
3519006,3.817
3519501,1.879
3521309,3.983
3519071,53.184
3519105,3.492
3519204,1.239
3519253,1.598
3519303,8.467
3519402,4.931
3555505,0.9
3519600,20.19
3519709,37.559
3519808,2.281
3519907,2.616
3520004,4.595
3520103,8.743
3520426,23.321
4315073,0.421
3520202,7.058
3520301,7.917
3520442,10.958
3521408,5.707
3520400,15.23
3521101,4.11
3521150,1.141
3521200,0.704
3520509,104.062
3520608,1.196
3520707,2.049
3520806,1.071
3520905,4.187
3521002,9.487
3521705,3.645
3521804,18.949
3521903,3.878
3522000,0.858
3525854,1.187
3529302,29.035
3522109,65.728
3522158,1.305
3522208,33.059
3526100,4.07
3522307,60.797
3522406,22.962
3522505,37.498
3527702,1.301
3522604,21.915
3522653,0.494
3522703,11.963
3522802,3.838
3522901,5.228
3523008,1.703
3523107,71.064
3523206,12.884
3523305,5.566
3527801,0.818
3527900,0.917
4319307,1.899
3523404,59.088
3523503,4.473
3528007,5.615
3523602,8.028
3523701,1.193
3523800,1.877
3524402,88.328
3524501,2.486
3524600,3.786
3523909,89.158
3525003,15.507
3524006,59.592
3524105,11.432
3524204,1.522
3524303,26.717
3524709,31.953
3524808,17.857
3524907,1.01
3528106,2.29
3528205,1.03
3525102,13.835
3525300,41.988
3525409,1.014
3525508,5.364
3525607,1.141
3528304,0.776
2205516,0.97
3525201,23.677
3525706,10.704
3525904,157.714
3526001,4.881
3531407,6.928
3526209,6.661
3526308,0.88
3526407,11.963
3526506,1.676
3526605,1.785
3526704,28.839
3532058,0.982
3532108,1.153
3526803,19.781
3526902,100.193
3527009,5.19
3532157,0.564
2205524,1.133
3527108,26.876
3527207,23.489
3527256,0.572
3527306,24.923
3527405,5.736
3527504,0.989
3527603,3.614
3528403,41.824
3528502,61.357
3528601,2.553
3528700,0.692
3528809,3.834
3528858,1.077
3528908,0.979
3532207,1.151
1101559,0.973
3529005,104.016
3529104,0.52
3529203,12.887
3532306,1.071
3529401,51.029
3529500,1.552
3529609,1.308
3529658,0.554
3529708,5.744
3529807,3.379
3533106,0.744
3533205,1.004
3529906,4.352
3530003,1.551
3530102,8.889
3530201,3.109
3530300,25.899
3530409,1.465
3533254,0.666
3533304,0.651
3530508,25.099
3530607,129.54
3530706,43.561
3531209,4.152
3534005,1.093
3530805,35.705
3530904,1.202
3531001,0.882
3531100,21.615
3531308,17.127
3534104,2.344
3531506,6.045
3531605,1.26
3531704,0.73
3531803,31.571
3531902,8.335
3532009,4.196
3532405,5.232
3532504,3.56
3532603,3.034
3532702,1.636
3532801,2.532
3532827,1.896
3532843,0.492
3532868,0.441
3532900,2.038
3533007,5.068
3533403,20.216
3533502,9.71
3533601,2.819
3533700,1.511
3533809,0.924
3533908,20.251
3534302,10.617
3534401,62.926
3534500,0.728
3534609,8.742
3534708,42.346
3534757,3.595
3534807,2.488
3535200,2.389
3535309,5.902
3535408,10.2
3535507,12.379
3535606,2.609
3535705,1.155
3535804,29.448
3535903,1.669
3536000,3.272
3536109,12.386
3536208,6.699
3536257,0.838
3536307,4.539
3536406,6.745
3536505,77.388
3536570,0.546
3536604,2.213
3536703,17.761
3536802,1.68
3536901,1.653
3537008,3.844
3537107,18.989
5104542,5.975
3537156,1.796
3537206,8.029
3537305,21.204
3537404,9.386
3537503,2.228
3537602,46.619
3537701,1.83
3537800,8.66
3537909,14.01
3538006,66.365
3538105,5.411
3538501,3.74
3540200,5.984
3538204,9.741
3538303,0.807
3540259,0.989
3540309,1.017
3538600,15.959
3538808,11.353
3540408,1.051
1101609,1.605
3538709,168.824
3539707,0.789
3539806,15.696
3538907,8.465
3539004,3.001
3539103,7.516
3539202,6.877
3539905,1.827
3540002,8.039
5206909,0.667
3539301,34.767
3539400,9.146
3539509,9.189
3539608,1.373
3540507,11.451
3540606,25.318
3541059,0.914
2203230,1.111
3540705,21.985
3540754,2.723
3540804,4.737
3540853,0.612
3540903,4.793
3541000,45.98
3542305,1.54
3541109,1.269
3541208,4.282
3541307,28.02
3541406,101.05
3541505,17.522
3555604,3.766
3541604,8.456
3541653,2.103
3541703,5.198
3541802,2.062
3541901,3.122
3542008,2.342
3542107,3.135
3542206,10.457
3542404,8.891
3542503,1.911
3542602,36.624
3542701,1.431
3542800,0.283
3542909,4.43
3555703,0.46
2208205,1.061
3543006,3.253
3543105,0.961
3543204,1.054
3543238,0.628
3543253,1.148
3543303,46.809
3544004,8.356
3543402,226.355
3543501,1.731
3543600,3.116
3543709,2.473
3543808,2.486
3543907,64.318
2210052,0.977
3544103,8.451
3544202,2.12
3544251,7.718
3544301,4.517
3544400,0.976
3544509,3.468
3544608,2.424
3544707,0.803
3544806,4.332
3544905,6.179
3545001,4.201
3545100,1.177
3545159,4.151
3545209,46.402
3545308,13.411
3547106,2.372
3545407,6.001
3545506,0.87
3545605,4.715
3545704,1.644
3545803,52.051
3546009,3.495
3546108,0.631
3547205,0.503
3547304,65.786
3546207,2.473
3546256,0.47
3546306,7.847
3546405,15.348
3546504,1.399
3546603,13.869
3546702,9.188
3547403,0.816
2210102,0.821
3546801,27.02
3546900,1.559
3547007,1.772
3555802,2.442
3547502,11.854
3547601,6.281
3547650,0.525
3547700,6.838
3547809,78.236
3547908,1.99
3548005,7.282
3548054,4.15
3548104,1.539
3548203,3.012
3548302,1.067
3548401,1.09
3552007,1.572
3548500,51.751
3548609,4.023
3549409,14.557
3549508,1.525
3549607,1.052
3548708,98.404
3548807,15.335
3550001,3.505
3551702,47.598
3548906,79.971
3549003,0.859
3549102,41.486
3549201,0.556
3549250,0.621
3549300,0.799
3550704,41.49
3553104,1.3
3549706,18.148
3549904,258.255
3550803,2.725
3553203,1.964
3549805,169.415
3549953,6.137
3555901,0.548
3550100,15.64
3550209,8.743
3550308,949.611
3550407,27.831
3550506,1.523
3550902,6.461
3551801,2.475
3551900,2.649
3550605,48.645
3551009,32.316
3551108,6.681
3551207,1.027
3551306,0.994
3551405,3.991
3551504,7.025
3551603,26.035
2210201,0.892
3552106,20.966
3552205,205.593
3553302,12.219
3552304,2.961
3552403,71.393
3553401,12.442
3553500,3.456
3553609,3.929
3552502,78.888
3552551,1.101
3552601,3.862
3552700,3.837
3552809,19.312
3552908,2.079
3553005,2.074
3553708,21.617
3553807,6.054
3553856,1.488
3553906,2.342
3553955,4.081
3554003,53.252
3557204,3.629
3554102,103.079
3554201,1.018
3554300,6.124
3554409,2.067
3554508,26.484
3554607,0.917
3554656,1.147
3554706,3.466
2210953,0.624
3554805,14.687
3554904,2.539
3554953,2.822
3555000,31.161
3555109,5.092
3555208,0.732
3555307,0.509
3555356,1.325
3555406,44.513
3556008,4.403
3556107,4.592
3556206,62.53
3556305,6.362
3556354,2.927
4201802,0.924
3556404,12.512
3556453,32.241
3556503,29.6
3556602,4.469
3557105,32.827
2210979,0.612
3556701,53.692
3556800,5.115
3556909,1.298
3556958,0.529
3557006,26.601
3557154,1.037
1101708,4.088
3557303,3.823
4200051,1.578
4200101,7.288
4200200,8.694
4200309,2.136
4200408,1.811
4200507,1.781
4200556,0.912
4200606,2.248
4200705,1.742
4200754,0.53
4200804,1.604
4200903,1.492
4201000,2.614
4201109,0.68
4201208,4.607
4201257,4.182
4201273,1.445
4201307,21.893
4201406,25.748
4201505,4.904
4201604,2.029
4201653,0.674
4201703,8.055
5207105,0.829
4201901,2.361
4201950,10.765
4202008,20.578
4202131,1.279
4202156,0.784
4202057,10.342
4202073,12.402
4202081,1.586
4202099,0.336
4202107,20.434
4203956,10.291
4202206,10.027
4202453,13.544
4202503,1.074
4202537,0.819
4202578,0.706
4202305,22.419
4202404,178.127
4202438,1.029
4202602,3.439
5218102,2.244
4202701,1.488
4202800,13.952
4202859,1.946
4202875,0.499
4202909,75.861
4203006,32.68
4203105,1.881
4203154,0.932
4203204,16.864
4203253,0.912
4203303,4.668
4203402,2.005
4203501,4.507
4204004,4.064
4203600,14.504
4203709,8.717
4203808,27.977
4203907,9.412
4204103,1.303
4204152,1.051
4204178,0.67
4204194,0.649
4204202,49.745
4204251,7.673
4204301,33.932
4204350,1.666
4204400,3.843
4204459,0.605
4204509,9.836
4204558,5.176
4204608,114.787
4209854,1.146
4204707,3.584
4204756,0.583
4204806,17.293
4204905,3.27
4205001,5.563
4205100,3.176
1101757,3.261
4205159,2.029
4205175,0.609
4205191,0.405
4205209,2.378
4205308,3.228
4205357,0.335
4205407,153.009
4205431,0.671
4206702,4.44
4206751,0.54
4205456,11.809
4205506,9.42
4205555,0.676
4205605,1.858
4206801,0.843
4205704,15.007
4205803,5.979
4206306,16.728
4205902,27.742
4206405,2.749
4206009,8.559
4206108,1.78
4206207,5.357
4207684,1.543
4206504,16.875
4206603,1.771
4206652,1.201
4207700,1.642
4206900,9.055
4207007,37.391
4207759,0.914
4207106,5.044
4207205,2.541
4207304,29.854
4207403,2.004
4207502,30.165
4207577,0.841
4207601,1.84
4207650,3.972
4207809,2.833
4207858,0.533
4207908,2.05
4208005,2.263
4208104,13.368
4208203,58.462
4210308,2.531
4208302,14.433
4208401,3.283
4208450,24.54
4209508,5.379
4208500,12.165
4208609,1.095
4208708,4.507
4208807,30.933
4210407,3.228
1400159,7.774
4208906,83.435
4208955,0.539
1400175,1.072
4209003,11.624
4209300,68.186
4209607,6.845
1400209,7.117
4209102,176.765
4209151,3.277
4209177,1.835
4209201,0.501
4209409,23.801
4209458,0.449
4209706,2.857
4209805,0.688
4209904,4.174
4210001,3.812
4210035,1.595
4210050,0.34
4210100,26.321
4210209,1.232
4210506,8.855
4210555,0.518
4210605,9.39
4210704,0.928
4210803,3.201
4210852,1.333
4210902,1.907
4211009,3.244
4211058,2.224
4211108,4.092
4211207,13.171
4211256,0.365
4211306,21.251
4211405,2.1
4211454,1.066
4212205,6.779
4211504,9.07
4211603,6.84
4211652,0.808
4212239,1.135
4212254,8.562
4212270,0.844
4211702,13.82
4211751,8.289
4211801,3.444
4211850,1.214
4211876,0.561
4211892,0.567
1400233,2.898
4211900,66.224
4212007,2.517
4212056,0.944
4212106,5.991
1400282,1.926
2500908,1.878
4212304,5.419
4212403,1.614
4212502,18.748
4212601,0.999
4212700,1.538
4212809,13.34
4212908,7.133
4213005,1.416
4213104,2.277
4213153,0.9
4213500,7.943
4213203,48.981
4213302,3.336
4213351,1.822
4213401,4.035
4213609,13.891
4213708,6.328
4213807,2.961
4213906,0.35
4214003,8.304
4214102,1.064
4214151,0.806
4214201,4.146
2200277,1.372
4214300,4.02
4214409,1.71
4214508,1.916
4214607,2.269
4214706,7.273
1400308,5.858
4214805,42.02
4214904,1.719
4215109,10.24
4215000,19.553
4215059,0.701
4215075,2.324
1400407,3.252
4215208,1.562
4215307,4.142
4215356,1.182
4215406,2.075
4215455,10.227
4215505,6.758
4215554,0.602
4215604,0.491
4215653,3.665
4215679,2.056
4215687,0.433
4215695,0.457
4215703,19.872
4215752,0.694
4216107,4.153
4216701,6.31
4216800,1.184
4215802,56.216
4215901,0.527
4216008,4.991
4216057,2.945
4216206,41.435
4216255,2.359
4216305,17.199
4216354,1.658
4216404,1.647
4216503,11.092
4216602,56.868
1400456,3.532
4216909,10.841
4217006,6.922
4217105,1.673
4217154,0.489
4217204,19.045
4217253,3.359
4217303,3.183
4217808,7.996
4217402,17.345
4217501,5.955
4217550,1.405
4217600,6.898
4217709,10.732
4217758,0.944
2501005,2.111
4217907,2.422
4217956,0.526
4218004,18.304
4218103,1.478
4218202,34.716
4218251,1.964
4218954,1.08
4218301,9.595
4218350,1.318
4218400,3.506
4218509,4.462
4218608,6.129
4219002,9.536
4218707,46.904
4218756,1.102
4218806,7.762
4218855,1.096
4218905,4.734
4219101,1.526
4219150,0.914
4219176,1.016
4219200,1.436
4219309,24.747
4219358,2.055
4219408,1.416
1100080,6.109
4219507,16.818
4219606,1.135
4219705,10.34
4219853,1.227
1400027,1.178
1400050,2.546
1400100,132.98
1100403,12.21
1400472,10.397
1400506,3.756
1400605,5.003
1400704,0.77
1100015,9.774
1100023,34.879
1100031,1.848
1100049,29.965
1100056,8.014
1100064,11.652
1100072,1.411
1100098,12.97
1100106,18.641
1100114,19.273
1100122,61.856
1100130,13.633
1100148,6.11
1100155,11.956
2514453,1.159
1100189,21.388
1100205,139.722
1100452,10.624
1100254,8.289
1100262,0.749
1100288,24.621
1100296,4.309
1100304,56.612
1100320,6.295
1100338,13.552
1100346,6.608
1100379,4.34
1100502,1.355
1100601,1.479
1100700,1.674
1100809,8.586
1100908,0.769
1100924,2.653
1100940,11.742
1101005,1.889
1101104,4.01
1101203,1.254
1101302,3.27
1101401,3.528
1101435,0.644
1101450,1.081
1101468,1.127
1101476,1.237
1101484,0.949
1101807,1.532
4300034,1.005
4300059,1.98
4300109,4.071
4300208,2.096
4300307,1.9
4300406,27.088
4300455,2.081
4300471,1.656
4300505,1.541
4300554,1.457
4300570,1.758
4300604,36.429
4300638,1.605
4300646,2.227
4300661,0.526
4300703,1.387
4300802,5.919
4300851,4.858
4300877,4.864
4300901,2.944
4301008,10.75
4301057,20.711
4301958,1.333
4301073,0.83
4301107,11.599
4301206,4.707
4301305,8.21
4301404,4.404
4301503,1.958
4301552,1.263
4301602,42.034
1507102,2.255
4301636,15.411
4301651,5.351
4301701,3.647
4301750,0.82
4301800,2.405
4301859,0.737
4301875,1.056
4301909,4.832
4301925,0.392
4302006,2.107
4302105,55.191
4302154,1.222
4302204,2.895
4302220,0.447
4302238,0.519
4302253,0.5
4302303,6.982
4302352,10.648
4302378,0.955
4302402,5.111
4302451,1.157
4302501,2.214
4302584,1.12
4302600,1.53
1507755,1.245
4302659,3.226
4302709,10.181
4302808,12.167
4302907,7.192
4303004,46.51
4313003,1.286
4303103,29.721
4303202,1.364
4303301,2.106
4303400,1.362
4303509,19.362
4303558,1.263
4304606,85.467
4303608,2.607
4303673,1.055
4303707,1.935
4303806,2.946
4303905,22.427
4304002,2.619
4304101,1.951
4304614,0.44
4304622,0.931
4304200,10.562
4304309,0.896
4304358,3.996
4304408,19.22
4304507,8.394
4306056,2.492
4304630,24.92
4304655,1.383
4304663,14.012
4304671,3.334
4304689,4.363
4304697,1.091
4304705,42.374
4304713,2.706
4304804,10.283
4304853,0.329
4304903,3.982
4304952,1.401
4305009,4.141
4306072,1.253
4313011,0.671
4305108,178.282
4305116,0.87
4305124,3.145
4306502,1.665
4321956,2.519
4305132,1.835
4305157,1.245
4305173,1.629
4305207,6.644
4305306,3.753
4307104,2.026
4305355,16.497
4305371,0.627
4305405,1.969
4305439,7.082
4305447,0.639
4305454,12.15
4305504,1.433
4305587,0.922
4305603,2.576
4305702,1.897
4307203,1.732
4305801,3.289
4305835,0.4
4305850,1.702
4305871,1.173
4305900,3.095
4305934,0.286
4305959,1.909
4305975,1.43
4306007,3.712
2603207,2.344
4306106,43.846
4306130,0.435
4306205,6.721
4306304,1.252
4306320,0.749
4306353,0.594
